,content,emotion
31,质量不错， 灵活旋转：不错 安全性：好 骨架结实：结实 安装服务：非常好安装,0.9959476331308702
33,"36天后追评：很满意
                    对比了很多品牌做了很多攻略 这个安全座椅颜值超高",0.9992430259749052
34,太好用了,0.4734776023452153
35,质量不错，座椅手感也不错。正反三个角度，90度悬停上下，很方便。,0.9977248269060017
36,颜值非常高 个人觉得小月龄宝宝睡上也很舒服 操作比较简单 我一个女生都可以安装 出门非常方便啦 以后解放双手 自己一个人开车就可以带她出去玩,0.9695512070891322
37,五星好评，非常好！想不到那么快就到了！,0.77720923460757
38,安全性:好 灵活旋转:好 骨架结实:好 安装服务:好 物流服务:好,0.9833611204233064
39,挺好的 收到就安装了 服务也很好的噢,0.9673347108259609
40,小红书上做了很久的攻略，最后决定买这一款。到手以后发现还是很不错的，质感什么的都比一般的好多了,0.9993812122017308
41,BeBebus 这个牌子买了很多东西都觉得挺好的，安全座椅💺对比了很多品牌最后还是选择了bbb ，外观很漂亮,0.9999450551278674
42,品质棒棒哒！爱了！宝宝喜欢,0.9776951677458077
43,昨天收到的。,0.4932610719555849
44,外观挺好的，儿子反正上车就睡，挺好的。 再晒一个来自儿子的点赞。,0.9999694683763647
45,哈哈哈安全座椅已就位～～～安装起来还蛮简单的、希望到时候崽崽能愿意坐进去,0.9996371173687617
46,安全性：非常安全 灵活旋转：可以轻松调节 骨架结实：特别满意,0.9891254863227338
48,"53天后追评：颜值没得说，小朋友出行睡着了
                    一直相信bbs",0.3313196579501583
49,客服很有耐心，在客服的耐心讲解下很快就安装好了，宝宝喜欢坐不窝脖子，看起来就很舒适，颜值超级高的座椅，姐妹们可以放心冲！,0.9999584376726398
50,还没给希望宝宝喜欢，高端大气,0.9893213052832547
51,好大一个，做了很多功课选了智能版，客服服务很好，很满意。期待安装效果,0.9741312522212728
52,做了挺多功课最终入手了这款天文家pro，颜值高，白金的配色很大气，宝宝第一次坐上去就很开心，一会会就睡着了,0.9992791982029641
53,0天后追评：坐垫很舒服，宝宝一点也不抗拒,0.17561384925210155
55,62天后追评：快递很快就收到了，用了段时间才来追评。宝贝很喜欢坐，很安全，颜值也很高。,0.8375168887851733
57,"23天后追评：宝贝挺喜欢坐的 上车就睡了
                    关键不窝脖子 放心购买",0.9803646935255107
58,40来分钟的路程，小朋友坐着坐着就睡着了，可见安全座椅的舒适度杠杠的！只要小朋友乐意坐，能保证安全，那就是物超所值啦～,0.9998401594562993
59,宝宝安全座椅的颜值天花板了！,0.45967435529844847
61,6天后追评：新座驾试坐，高颜值与高性能并存👍,0.9344602108921992
62,买之前一直担心他不愿意坐 纠结了好久 买回来第一次试坐很成功 ～ 甚至解锁了吃安抚奶嘴睡觉～,0.9996565332703725
63,坐着不哭不闹，应该是舒服的哈哈哈哈哈不得不说屈服于颜值了，要是支撑腿能收纳就完美了,0.9999436090582027
64,这个红色的安全座椅真的很好看，宝宝坐上去很舒服，以后可以带着宝宝出去兜风啦，客服也很nice，不错👍 安全性:材料很厚实 灵活旋转:很灵活、操作方便,0.999970357266459
66,"62天后追评：安全座椅和溜娃神器都认准bebebus
                    ，颜值高，宝宝不哭不闹也很喜欢，出行必备，值得入手👍",0.991873217203449
67,非常完美 孩子坐也很舒适,0.993780673282293
68,整体还不错，宝宝现在一岁7个月，之前做表弟的愿意做，所以还是买了这款，接受度还蛮高的，尿不湿也一直用的他家的❤️❤️,0.903883941566974
69,0天后追评：现在出行有安全座椅老母亲也敢尝试上路了，安全第一,0.3201809719506299
70,一分钱一分货，跟便宜的没法比，宝宝很喜欢坐。,0.25992572169168604
